Name,Attachments,Created,Tags
Drive folder,,"February 23, 2023 8:45 PM",folder
Project Plan,,"February 13, 2023 7:39 PM",project plan
Repositories,,"February 15, 2023 7:28 PM",code
Questions,,"February 13, 2023 8:19 PM",note
"Definición del nombre, la misión, visión y valores de la Oficina de Planeación de Proyectos",,"February 13, 2023 7:42 PM","activity, document"
Requerimientos para comprar un auto en México,,"February 14, 2023 10:39 AM",note
Notas Juntas NDS,Project%20Documentation%208987e31bd8204e6b8733afbb7b4be2f9/reqs.txt,"February 16, 2023 5:43 PM",note
Actividad Burger King,,"February 17, 2023 5:37 PM",activity
Historias de Usuario,,"February 20, 2023 5:46 PM",document
Functional requirements,,"February 20, 2023 6:24 PM",document
Non Functional requirements,,"February 22, 2023 7:47 PM",document
Epics,,"February 24, 2023 5:26 PM",project plan
WBS,,"February 23, 2023 8:03 PM",document
Margin analysis,,"February 23, 2023 8:43 PM",document
Gantt Diagram,,"February 23, 2023 8:42 PM",document
Team Presentation,,"February 24, 2023 3:27 PM",presentation
Architecture,,"February 27, 2023 4:34 PM",document
